Date,Close,High,Low,Open,Volume
2024-12-30,3550.572265625,3627.5726280120484,3499.2386907003015,3507.7942865210844,315994000
2025-01-06,3430.7939453125,3576.2390751636535,3430.7939453125,3576.2390751636535,690776500
2025-01-13,3499.23876953125,3627.5727097341073,3251.126485139059,3413.6828093960116,1732989400
2025-01-20,3584.794677734375,3747.350999636411,3533.46110239689,3533.46110239689,1198231300
2025-01-27,3610.461669921875,3661.7952481672096,3499.238917056983,3584.794880799208,412845100
2025-02-03,3447.9052734375,3678.9063711616004,3370.9049075294665,3593.350409041563,1300219400
2025-02-10,3302.460205078125,3473.57213280238,3293.9046086919125,3422.2385544851036,1707504300
2025-02-17,3328.126708984375,3576.238982918943,3311.015517678543,3311.015517678543,1506468500
2025-02-24,2874.68017578125,3370.904729933966,2874.68017578125,3336.682346888951,2197525600
2025-03-03,3259.682373046875,3413.6831150805856,2968.792082538755,3011.570066437008,2202491200
2025-03-10,3208.3486328125,3396.5717526041667,3131.3482656250003,3242.571018229167,1143142800
2025-03-17,3165.570556640625,3302.4600942250845,2994.458634660051,3234.0153254328548,1872258600
2025-03-24,3465.016357421875,3465.016357421875,3011.569772376543,3122.792519651813,1537611100
2025-03-31,3465.016357421875,3465.016357421875,3465.016357421875,3465.016357421875,0
2025-04-07,3105.681396484375,3465.0164340941374,2951.6806660801913,3465.0164340941374,1820220500
2025-04-14,3294.9384765625,3421.6668795072114,3258.7303614354396,3285.886447780735,778514400
2025-04-21,3385.45849609375,3475.9787767379676,3231.5740189985795,3276.8341593206883,1096641400
2025-04-28,3512.18701171875,3548.3951252416236,3412.6146995308472,3430.718756292284,806037500
2025-05-05,3475.978759765625,3584.603096008301,3403.5625356038413,3530.290927886963,799774000
2025-05-12,3847.112060546875,3919.5282875689336,3475.9788970588233,3475.9788970588233,1288131700
2025-05-19,3937.63232421875,3955.7363808818245,3774.6958142510775,3829.0079842403015,928007200
2025-05-26,4028.15234375,4028.15234375,3856.163816713483,3937.6320663623596,795580100
2025-06-02,3711.33154296875,3973.840359422637,3666.0714022008383,3946.68427496189,1177328200
2025-06-09,3620.811279296875,3765.64373046875,3602.7072229003907,3711.331561279297,774062700
2025-06-16,3430.71875,3647.9674307387863,3385.4586081794196,3602.707288918206,1293693100
2025-06-23,3466.9267578125,3530.290954430483,3313.042280311684,3376.406476929667,839346700
2025-06-30,3322.094482421875,3475.9789679836513,3294.9383967345025,3475.9789679836513,915311000
2025-07-07,3512.18701171875,3548.3951252416236,3303.9903589622263,3322.094415723663,832524800
2025-07-14,3494.0830078125,3584.6032929889893,3394.5106941183612,3512.187064847798,814717000
2025-07-21,3512.18701171875,3575.551210383779,3430.718756292284,3521.239040099468,599891500
2025-07-28,3385.45849609375,3575.5510854466074,3349.2503838360626,3566.4990573821856,697616100
2025-08-04,3349.25048828125,3430.718743401605,3340.198459934544,3367.354544974662,615363200
2025-08-11,3729.435546875,3756.5916309541867,3367.3544258191746,3367.3544258191746,1273733200
2025-08-18,3711.33154296875,3774.695740043826,3629.863289586509,3702.2795148151677,566119300
2025-08-25,3666.071533203125,3865.2161596981095,3638.915447771991,3783.747903404707,864776600
2025-09-01,3620.811279296875,3666.0714202880863,3494.0828845214846,3557.44708190918,545972300
2025-09-08,3783.747802734375,3792.7998309705813,3394.510588577489,3684.1754921361016,1106135800
2025-09-15,3847.112060546875,3865.2161173023896,3693.227578125,3801.8519186580884,1114192200
2025-09-22,3657.019287109375,3847.111873815555,3620.811175355817,3847.111873815555,668842100
2025-09-29,3340.198486328125,3657.019480966294,3331.1464579098915,3657.019480966294,1161459600
2025-10-06,3376.406494140625,3557.4470568291304,3294.9382409307977,3349.2504097373494,1250972400
2025-10-13,3168.2099609375,3358.30255859375,3122.949818638393,3331.146473214286,1401138900
2025-10-20,3485.03076171875,3539.3429294338475,3204.417895190747,3213.4699231432633,1553787500
2025-10-27,3602.707275390625,3638.915388711134,3394.5106237976993,3512.186992089353,1423236000
2025-11-03,3602.707275390625,3666.0714737015155,3539.3430770797345,3666.0714737015155,762880000
2025-11-10,3530.291015625,3638.9153545673075,3494.0829026442307,3629.8633263221154,638759000
2025-11-17,3584.603271484375,3666.0715276544747,3512.18704377762,3512.18704377762,749251300
2025-11-24,3331.146240234375,3620.811130689538,3331.146240234375,3620.811130689538,1585005100
2025-12-01,3303.990234375,3376.4064586900686,3303.990234375,3331.146318493151,1180023100
2025-12-08,3285.88623046875,3349.2504277505163,3240.6260895532023,3331.1463713842973,995201000
2025-12-15,3412.61474609375,3457.8748886148874,3285.886347034566,3303.9904040430206,1315298900
2025-12-22,3412.61474609375,3430.718803102205,3376.40663207684,3412.61474609375,421180900
2025-12-29,3313.042236328125,3430.7185999135504,3303.9902083600155,3421.666571945441,512463700
