Price,Close
Ticker,BBRI.JK
Date,
2022-01-03,2973.502685546875
2022-01-04,2959.275390625
2022-01-05,2994.843994140625
2022-01-06,2959.275390625
2022-01-07,2980.616455078125
2022-01-10,2973.502685546875
2022-01-11,2952.161865234375
2022-01-12,2959.275390625
2022-01-13,2980.616455078125
2022-01-14,2973.502685546875
2022-01-17,2994.843994140625
2022-01-18,2980.616455078125
2022-01-19,2937.934814453125
2022-01-20,2937.934814453125
2022-01-21,2966.38916015625
2022-01-24,2930.8212890625
2022-01-25,2895.25244140625
2022-01-26,2909.480224609375
2022-01-27,2945.048095703125
2022-01-28,2945.048095703125
2022-01-31,2895.25244140625
2022-02-02,2895.25244140625
2022-02-03,2937.934814453125
2022-02-04,2994.843994140625
2022-02-07,3130.003173828125
2022-02-08,3158.45751953125
2022-02-09,3165.5712890625
2022-02-10,3179.79833984375
2022-02-11,3165.5712890625
2022-02-14,3137.116455078125
2022-02-15,3151.34375
2022-02-16,3144.230224609375
2022-02-17,3130.003173828125
2022-02-18,3151.34375
2022-02-21,3194.025634765625
2022-02-22,3151.34375
2022-02-23,3186.912353515625
2022-02-24,3122.889404296875
2022-02-25,3236.707763671875
2022-03-01,3293.6171875
2022-03-02,3243.8212890625
2022-03-04,3322.071044921875
2022-03-07,3215.36669921875
2022-03-08,3151.34375
2022-03-09,3250.934814453125
2022-03-10,3250.934814453125
2022-03-11,3254.079345703125
2022-03-14,3342.8271484375
2022-03-15,3409.386962890625
2022-03-16,3438.970458984375
2022-03-17,3438.970458984375
2022-03-18,3387.20068359375
2022-03-21,3394.596435546875
2022-03-22,3431.574462890625
2022-03-23,3438.970458984375
2022-03-24,3498.13525390625
2022-03-25,3483.34423828125
2022-03-28,3498.13525390625
2022-03-29,3468.552490234375
2022-03-30,3483.34423828125
2022-03-31,3446.365478515625
2022-04-01,3498.13525390625
2022-04-04,3475.94873046875
2022-04-05,3475.94873046875
2022-04-06,3401.99169921875
2022-04-07,3424.178955078125
2022-04-08,3409.386962890625
2022-04-11,3379.8046875
2022-04-12,3409.386962890625
2022-04-13,3409.386962890625
2022-04-14,3357.617919921875
2022-04-18,3365.013671875
2022-04-19,3379.8046875
2022-04-20,3586.8828125
2022-04-21,3549.905029296875
2022-04-22,3512.927001953125
2022-04-25,3579.487060546875
2022-04-26,3653.443603515625
2022-04-27,3586.8828125
2022-04-28,3601.67431640625
2022-05-09,3350.22265625
2022-05-10,3350.22265625
2022-05-11,3320.639892578125
2022-05-12,3194.91455078125
2022-05-13,3143.144775390625
2022-05-17,3291.057373046875
2022-05-18,3291.057373046875
2022-05-19,3283.661865234375
2022-05-20,3276.26611328125
2022-05-23,3202.3095703125
2022-05-24,3298.453369140625
2022-05-25,3217.10107421875
2022-05-27,3357.617919921875
2022-05-30,3276.26611328125
2022-05-31,3424.178955078125
2022-06-02,3313.244384765625
2022-06-03,3342.8271484375
2022-06-06,3276.26611328125
2022-06-07,3254.079345703125
2022-06-08,3305.8486328125
2022-06-09,3320.639892578125
2022-06-10,3254.079345703125
2022-06-13,3209.705322265625
2022-06-14,3224.496826171875
2022-06-15,3291.057373046875
2022-06-16,3276.26611328125
2022-06-17,3231.892333984375
2022-06-20,3254.079345703125
2022-06-21,3239.28759765625
2022-06-22,3194.91455078125
2022-06-23,3187.5185546875
2022-06-24,3209.705322265625
2022-06-27,3165.33154296875
2022-06-28,3180.122802734375
2022-06-29,3091.375
2022-06-30,3069.188232421875
2022-07-01,3061.792724609375
2022-07-04,2987.83642578125
2022-07-05,3024.81494140625
2022-07-06,3017.419189453125
2022-07-07,2995.232177734375
