ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-06-24,3793.62112350042,3620.749266236597,4014.7890713058546,3793.62112350042,3793.62112350042,25.21248940220272,25.21248940220272,25.21248940220272,25.21248940220272,25.21248940220272,25.21248940220272,0.0,0.0,0.0,3818.8336129026225
2024-06-25,3798.5794359416186,3637.6606644732747,4018.345032848438,3798.5794359416186,3798.5794359416186,31.29181505739153,31.29181505739153,31.29181505739153,31.29181505739153,31.29181505739153,31.29181505739153,0.0,0.0,0.0,3829.87125099901
2024-06-26,3803.5377483828165,3647.9578557879895,4036.837735759449,3803.5377483828165,3803.5377483828165,42.912852191434574,42.912852191434574,42.912852191434574,42.912852191434574,42.912852191434574,42.912852191434574,0.0,0.0,0.0,3846.450600574251
2024-06-27,3808.4960608240153,3650.9817679430885,4042.1629935077985,3808.4960608240153,3808.4960608240153,38.95211823373622,38.95211823373622,38.95211823373622,38.95211823373622,38.95211823373622,38.95211823373622,0.0,0.0,0.0,3847.4481790577515
2024-06-28,3813.454373265214,3662.1297351606477,4046.1648802152877,3813.454373265214,3813.454373265214,30.476032828871915,30.476032828871915,30.476032828871915,30.476032828871915,30.476032828871915,30.476032828871915,0.0,0.0,0.0,3843.9304060940863
2024-07-01,3828.329310588809,3669.57851519287,4050.993695821263,3828.329310588809,3828.329310588809,25.21248940219718,25.21248940219718,25.21248940219718,25.21248940219718,25.21248940219718,25.21248940219718,0.0,0.0,0.0,3853.5417999910064
2024-07-02,3833.287623030008,3667.8743649234725,4050.0580807592737,3833.287623030008,3833.287623030008,31.29181505736766,31.29181505736766,31.29181505736766,31.29181505736766,31.29181505736766,31.29181505736766,0.0,0.0,0.0,3864.579438087376
2024-07-03,3838.245935471207,3684.624314698188,4077.178251516163,3838.245935471207,3838.245935471207,42.91285219143735,42.91285219143735,42.91285219143735,42.91285219143735,42.91285219143735,42.91285219143735,0.0,0.0,0.0,3881.158787662644
2024-07-04,3843.2042479124048,3674.500776908498,4076.014801818602,3843.2042479124048,3843.2042479124048,38.95211823363528,38.95211823363528,38.95211823363528,38.95211823363528,38.95211823363528,38.95211823363528,0.0,0.0,0.0,3882.15636614604
2024-07-05,3848.1625603536036,3686.5728309956367,4070.866192688044,3848.1625603536036,3848.1625603536036,30.47603282878805,30.47603282878805,30.47603282878805,30.47603282878805,30.47603282878805,30.47603282878805,0.0,0.0,0.0,3878.6385931823916
